mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.098,31.787558,2019-06-23 15:04:00,0.0,96,62.5,0
413812193,121.09741000000001,31.785079999999997,2019-06-23 15:12:00,6.1,194,194.1,0
413812193,121.09608999999999,31.780777,2019-06-23 15:14:00,6.3,195,195.6,0
413812193,121.094986,31.777267,2019-06-23 15:16:00,6.9,190,191.7,0
413812193,121.09428999999999,31.773640000000004,2019-06-23 15:18:00,6.3,185,185.3,15
413812193,121.09443999999999,31.772046999999997,2019-06-23 15:20:00,6.1,169,169.1,0
413812193,121.09650400000001,31.767696,2019-06-23 15:22:00,7.2000003,155,155.2,0
413812193,121.09745,31.762696999999996,2019-06-23 15:24:00,7.3,168,168.5,0
413812193,121.09841000000002,31.758457,2019-06-23 15:26:00,7.8,170,170.1,0
413812193,121.09511,31.742890000000003,2019-06-23 15:34:00,7.6,188,188.6,0
413812193,121.093185,31.733846999999997,2019-06-23 15:38:00,7.2000003,192,192.6,0
413812193,121.09281000000001,31.73256,2019-06-23 15:40:00,3.6,194,194.5,15
