mmsi,LON,LAT,TIME,SOG,HEADING,对地航向,STATE
413812193,121.09798,31.787359999999996,2019-06-19 11:20:00,0.0,6,6.4,0
413812193,121.09743,31.785,2019-06-19 11:40:00,3.1,196,196.3,15
413812193,121.09575,31.779434000000002,2019-06-19 11:42:00,6.8,184,184.90001,0
413812193,121.09658999999999,31.7731,2019-06-19 11:46:00,8.3,169,169.90001,0
413812193,121.09792,31.767334,2019-06-19 11:48:00,8.3,173,172.7,0
413812193,121.09827,31.763527000000003,2019-06-19 11:50:00,8.3,173,173.7,0
413812193,121.09908999999999,31.757494,2019-06-19 11:52:00,9.2,166,166.7,0
413812193,121.10014,31.749972999999997,2019-06-19 11:56:00,8.2,183,183.3,0
413812193,121.09638999999999,31.742353,2019-06-19 12:00:00,7.2000003,209,210.1,0
413812193,121.09532,31.73664,2019-06-19 12:02:00,8.400001,184,184.90001,0
413812193,121.09448,31.733320000000003,2019-06-19 12:04:00,8.0,196,196.1,0
413812193,121.09371999999999,31.731170000000002,2019-06-19 12:06:00,8.1,195,196.5,0
413812193,121.09206,31.727220000000003,2019-06-19 12:08:00,5.9,209,209.7,0
